LAT,LON,x (m),y (m),Altitude AGL
-78.06339,38.39745,74.44444444438936,-18.384833448128045,881.2682400000001
-78.06337,38.39744,76.66666666573796,-18.61467460275953,888.1567200000001
-78.06336,38.39743,77.77777777720176,-18.844500958440264,894.95376
-78.06335,38.39742,78.88888888866556,-19.074327693584838,901.62888
-78.06335,38.3974,78.88888888866556,-19.533950047629418,908.18208
-78.06333,38.39739,81.11111111159315,-19.763793858507178,914.61336
-78.06332,38.39738,82.22222222147795,-19.993621921775308,920.9532
-78.06332,38.39737,82.22222222147795,-20.223433667912516,927.2016
-78.06331,38.39736,83.33333333294175,-20.453262300376586,933.32808
-78.0633,38.39735,84.44444444440553,-20.683091312141084,939.36312
-78.06329,38.39734,85.55555555586933,-20.912920703532574,945.27624
-78.06328,38.39732,86.66666666575414,-21.372562979453587,951.09792
-78.06327,38.39731,87.77777777721793,-21.602393319504554,956.79768
-78.06326,38.3973,88.88888888868172,-21.832224038855863,962.37552
-78.06323,38.39727,92.22222222149412,-22.52171847401793,978.52992
-78.06322,38.39725,93.3333333329579,-22.981364354845482,983.71152
-78.06322,38.39724,93.3333333329579,-23.211177998467416,988.7712
-78.06321,38.39723,94.4444444444217,-23.44101099460076,993.76992
-78.0632,38.39722,95.5555555558855,-23.670844370360886,998.64672
-78.06319,38.39721,96.66666666577031,-23.900678125421187,1003.4016
-78.06317,38.39719,98.88888888869789,-24.360346774095404,1012.60656
-78.06316,38.39717,100.00000000016169,-24.81999644956045,1021.3848
-78.06315,38.39716,101.11111111162548,-25.049831912369765,1025.652
-78.06313,38.39714,103.33333333297408,-25.509503976215132,1029.79728
-78.06313,38.39713,103.33333333297408,-25.73931932742576,1033.85112
-78.06312,38.39712,104.44444444443788,-25.96915611819383,1037.78304
-78.06311,38.39711,105.55555555590166,-26.198993288588483,1041.654
-78.0631,38.3971,106.66666666578648,-26.428830838283105,1045.37256
-78.06309,38.39709,107.77777777725026,-26.658668767604265,1048.99968
-78.06308,38.39708,108.88888888871406,-26.88850707622535,1052.5658400000002
-78.06307,38.39707,110.00000000017785,-27.118345764472938,1055.9796
-78.06306,38.39706,111.11111111164165,-27.348184832020408,1059.3324
-78.06306,38.39705,111.11111111164165,-27.578001511355183,1062.56328
-78.06304,38.39703,113.33333333299025,-28.037681164466825,1065.70272
-78.06303,38.39702,114.44444444445405,-28.267521560298988,1068.75072
-78.06303,38.39701,114.44444444445405,-28.497338808666427,1071.70728
-78.06302,38.397,115.55555555591783,-28.727179773693678,1074.54192
-78.063,38.39698,117.77777777726644,-29.186862841973927,1079.9064
-78.06299,38.39697,118.88888888873024,-29.416704945227007,1082.46672
-78.06298,38.39695,120.00000000019402,-29.876365625296874,1084.90512
-78.06297,38.39694,121.11111111007884,-30.106208677207803,1087.25208
-78.06297,38.39693,121.11111111007884,-30.336027064130263,1089.47712
-78.06296,38.39692,122.22222222154262,-30.565870685236103,1091.61072
-78.06295,38.39691,123.33333333300642,-30.795714685968168,1093.6224
-78.06294,38.3969,124.44444444447021,-31.025559065999857,1095.54264
-78.06293,38.39688,125.555555555934,-31.485222971344545,1097.40192
-78.06292,38.39687,126.66666666581881,-31.715068300197075,1099.13928
-78.06291,38.39686,127.77777777728261,-31.94491400851251,1100.7852
-78.0629,38.39685,128.8888888887464,-32.17476009612745,1102.33968
-78.0629,38.39684,128.8888888887464,-32.40457981117327,1103.80272
-78.06289,38.39683,130.00000000021018,-32.63442646798293,1105.1438400000002
-78.06288,38.39682,131.111111110095,-32.864273504418556,1106.39352
-78.06287,38.39681,132.22222222155878,-33.09412092015367,1107.55176
-78.06286,38.3968,133.33333333302258,-33.3239687155148,1108.61856
-78.06285,38.39679,134.44444444448638,-33.55381689017533,1109.56344
-78.06284,38.39677,135.55555555595018,-34.01348629789884,1110.44736
-78.06284,38.39676,135.55555555595018,-34.243307151172544,1111.17888
-78.06283,38.39676,136.66666666583498,-34.243335421216536,1111.8494400000002
-78.06281,38.39674,138.88888888876258,-34.703034806403096,1112.42856
-78.06281,38.39673,138.88888888876258,-34.93285622903559,1112.88576
-78.0628,38.39672,140.00000000022635,-35.16270668047294,1113.25152
-78.06279,38.39671,141.11111111011118,-35.3925575115361,1113.55632
-78.06278,38.3967,142.22222222157495,-35.62240872189853,1113.76968
-78.06277,38.39669,143.33333333303875,-35.85226031188677,1114.10496
-78.06276,38.39668,144.44444444450255,-36.08211228117422,1114.47072
-78.06274,38.39667,146.66666666585115,-36.31199460770802,1114.77552
-78.06274,38.39666,146.66666666585115,-36.5418173584631,1114.9584
-78.06272,38.39664,148.88888888877872,-37.00152395343841,1114.98888
-78.06271,38.39663,150.00000000024252,-37.231377820038006,1114.98888
-78.06271,38.39662,150.00000000024252,-37.46120113998837,1114.86696
-78.06269,38.39661,152.22222222159112,-37.691086691787554,1114.68408
-78.06268,38.3966,153.33333333305492,-37.9209416969375,1114.37928
-78.06267,38.39659,154.44444444451872,-38.15079708138645,1114.01352
-78.06266,38.39658,155.55555555598252,-38.38065284546102,1113.64776
-78.06265,38.39658,156.66666666586733,-38.380684530657035,1113.0686400000002
-78.06264,38.39657,157.77777777733112,-38.61054086392436,1112.24568
-78.06264,38.39656,157.77777777733112,-38.84036551183352,1111.20936
-78.06263,38.39655,158.8888888887949,-39.070222414294776,1110.05112
-78.06262,38.39654,160.0000000002587,-39.30007969605494,1108.8014400000002
-78.06261,38.39653,161.1111111101435,-39.52993735744053,1107.4908
-78.06261,38.39653,161.1111111101435,-39.52993735744053,1106.14968
-78.0626,38.39652,162.2222222216073,-39.75979539812504,1104.9
-78.06258,38.3965,164.4444444445349,-40.21951261804377,1102.3092
